id,name,language,author_id,reference_id,user_id,status,likes_count,shares_count,views_count,is_featured,created_at,updated_at
,"Si vous avez besoin de quelque chose, appelez-moi. Je vous dirai comment vous en passer.",fr,,,1,approved,0,0,0,false,2020-03-23T18:16:59.615Z,2023-09-21T13:03:04.042Z
,Le but de la vie n'est pas de se trouver mais de se créer !,fr,,,1,approved,0,0,0,false,2020-11-05T12:42:35.074Z,2023-09-13T22:07:28.433Z
,The only really fatal element in defeat is the resolution not to try again.,en,,,1,approved,0,0,0,false,2020-01-26T17:36:09.344Z,2023-11-20T14:03:48.180Z
,La vérité est que l'invention dramatique est le premier effort de l'homme pour devenir intellectuellement conscient.,fr,,,1,approved,0,0,0,false,2024-01-01T14:18:28.543Z,2024-01-01T14:18:35.909Z
,"Il paraît que la crise rend les riches plus riches et les pauvres plus pauvres. Je ne vois pas en quoi c'est une crise. Depuis que je suis petit, c'est comme ça.",fr,,,1,approved,0,0,0,false,2020-03-23T19:32:05.153Z,2023-09-13T22:07:28.585Z
,"When hope is not pinned wriggling onto a shiny image or expectation, it sometimes floats forth and opens.",en,,,1,approved,0,0,0,false,2020-01-29T11:35:49.717Z,2023-09-13T22:07:28.718Z
,"As soon as you trust yourself, you will know how to live.",en,,,1,approved,1,0,0,false,2020-01-29T11:44:41.570Z,2024-07-13T04:50:09.057Z
,"Dans l'administration, on ne doit pas dormir au bureau le matin sinon on ne sait plus quoi faire l'après-midi.",fr,,,1,approved,0,0,0,false,2020-03-23T18:17:01.777Z,2023-09-13T22:07:28.818Z
,Dans la vie soit on gagne soit on apprend.,fr,,,1,approved,0,0,0,false,2020-09-15T10:38:52.716Z,2023-09-13T22:07:28.870Z
,Nothing fixes a thing so intensely in the memory as the wish to forget it.,en,,,1,approved,0,0,0,false,2020-01-29T11:46:29.361Z,2023-09-13T22:07:28.927Z
,"Haut perchées sur la ville, nos fenêtres dorées devaient dévoiler leur part de mystère humain au badau qui passait par là.",fr,,,1,approved,0,0,0,false,2020-04-25T01:59:46.584Z,2023-09-13T22:07:28.981Z
,Notre réalité possède des limites infranchissables.,fr,,,1,approved,0,0,0,false,2020-12-12T15:17:36.589Z,2023-09-13T22:07:29.035Z
,"Il suffit alors qu'un seul homme se dresse pour que le peuple se soulève à son tour. Et à cet instant précis, croyez-moi, tout deviendra possible.",fr,,,1,approved,0,0,0,false,2020-11-02T13:40:12.432Z,2023-09-13T22:07:29.103Z
,"Do not judge me by anything I dit at Virgin. If you want to judge my life, you judge me by the quality of my children.",en,,,1,approved,0,0,0,false,2020-01-25T12:55:49.264Z,2023-09-13T22:07:29.259Z
,Horses make a landscape look beautiful.,en,,,1,approved,0,0,0,false,2020-01-29T11:46:14.943Z,2023-09-13T22:07:29.317Z
,Nine tenths of education is encouragement.,en,,,1,approved,0,0,0,false,2020-01-29T11:35:47.532Z,2023-09-13T22:07:29.375Z
,"I hold it true, whate'er befall; I feel it, when I sorrow most; 'Tis better to have loved and lost Than never to have loved at all.",en,,,1,approved,0,0,0,false,2021-05-02T19:55:36.517Z,2023-09-13T22:07:29.428Z
,Remember that not getting what you want is sometimes a wonderful stroke of luck.,en,,,1,approved,0,0,0,false,2020-01-29T11:39:20.729Z,2023-09-13T22:07:29.480Z
,"Sometimes the thought is closer to the truth, to reality, than an action. You can say anything, you can do anything, but you can't fake a thought.",en,,,1,approved,0,0,0,false,2020-11-05T01:33:31.953Z,2023-09-13T22:07:29.539Z
,"Il faut essayer. Si on n'a pas essayé, on n'a pas vécu.",fr,,,1,approved,0,0,0,false,2020-05-02T02:14:58.004Z,2023-09-13T22:07:29.578Z
,Cessez de vous inquiétez de ce que vous ne contrôler pas. Vivez un peu.,fr,,,1,approved,0,0,0,false,2021-03-08T19:31:57.723Z,2023-09-13T22:07:29.631Z
,Before Elvis there was nothing.,en,,,1,approved,0,0,0,false,2020-01-29T11:43:23.169Z,2023-09-13T22:07:29.667Z
,It is only with the heart that one can see rightly; what is essential is invisible to the eye.,en,,,1,approved,0,0,0,false,2020-01-25T10:34:58.134Z,2023-09-13T22:07:29.708Z
